Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
76230-1,Marvel Super Heroes,Spider-Man,Venom Figure,297.0,24.99
60308-1,City,Police,Seaside Police and Fire Mission,297.0,49.99
76396-1,Harry Potter,Hogwarts Moments,Hogwarts Moment: Divination Class,297.0,29.99
41034-1,Friends,Summer,Summer Caravan,297.0,29.99
60172-1,City,Mountain Police,Dirt Road Pursuit,297.0,39.99
6180-1,Aquazone,Hydronauts,Hydro Search Sub,297.0,50.0
8089-1,Star Wars,Episode V,Hoth Wampa Cave,297.0,39.99
70004-1,Legends of Chima,The Power of the CHI,Wakz' Pack Tracker,297.0,29.99
4206-2,City,Great Vehicles,Recycling Truck,297.0,29.99
6473-1,Town,Res-Q,Res-Q Cruiser,296.0,35.0
76219-1,Marvel Super Heroes,Spider-Man,Spider-Man & Green Goblin Mech Battle,296.0,19.99
40553-1,BrickHeadz,Disney,Woody and Bo Peep,296.0,19.99
60363-1,City,Town,Ice-Cream Shop,296.0,39.99
60319-1,City,Fire,Fire Rescue & Police Chase,295.0,39.99
70429-1,Hidden Side,,El Fuego's Stunt Plane,295.0,29.99
75317-1,BrickHeadz,Star Wars,The Mandalorian & The Child,295.0,19.99
75294-1,Star Wars,Promotional,Bespin Duel,295.0,39.99
10403-1,Classic,Building Bigger Thinking,World Fun,295.0,19.99
45024-1,Education,Duplo,STEAM Park,295.0,219.95
21104-1,Ideas,NASA,NASA Mars Science Laboratory Curiosity Rover,295.0,29.99
6873-1,Marvel Super Heroes,Ultimate Spider-Man,Spider-Man's Doc Ock Ambush,295.0,29.99
75016-1,Star Wars,Episode II,Homing Spider Droid,295.0,29.99
3825-1,SpongeBob SquarePants,,Krusty Krab,295.0,19.99
4644-1,City,Beach,Marina,294.0,49.99
5599-1,Racers,,Radio Control Racer,294.0,80.0
4855-1,Spider-Man,Spider-Man 2,Spider-Man's Train Rescue,294.0,30.0
3409-1,Sports,Football,Championship Challenge,294.0,50.0
70603-1,Ninjago,Skybound,Raid Zeppelin,294.0,29.99
60186-1,City,Mining,Mining Heavy Driller,294.0,49.99
75176-1,Star Wars,Episode VIII,Resistance Transport Pod,294.0,29.99
60138-1,City,Police,High-speed Chase,294.0,39.99
76128-1,Marvel Super Heroes,Spider-Man: Far From Home,Molten Man Battle,294.0,29.99
41344-1,Friends,Heartlake City,Andrea's Accessories Store,294.0,29.99
81000-1,FORMA,,Koi,293.0,44.99
40463-1,Seasonal,Easter,Easter Bunny,293.0,14.99
70920-1,The LEGO Batman Movie,,Egghead Mech Food Fight,293.0,29.99
4547-1,Trains,9V,Railroad Club Car,293.0,37.5
10002-1,Trains,9V,Railroad Club Car,293.0,37.5
7786-1,Batman,,The Batcopter: The Chase for Scarecrow,293.0,29.99
8707-1,Power Miners,,Boulder Blaster,293.0,26.99
8067-1,Technic,,Mini Mobile Crane,292.0,24.99
1789-1,Space,Unitron,Star Hawk II,292.0,27.0
6568-1,Town,Extreme Team,Drag Race Rally,292.0,30.0
6979-1,Space,UFO,Interstellar Starfighter,292.0,80.0
7159-1,Star Wars,Episode I,Star Wars Podracing Bucket,292.0,25.0
7417-1,Adventurers,Orient Expedition,Temple of Mount Everest,292.0,30.0
75097-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,292.0,39.99
70819-1,The LEGO Movie,,Bad Cop Car Chase,292.0,29.99
41062-1,Disney,Frozen,Elsa's Sparkling Ice Castle,292.0,39.99
70130-1,Legends of Chima,Outlands,Sparratus' Spider Stalker,292.0,24.99
76990-1,Sonic the Hedgehog,Classic Games,Sonic's Speed Sphere Challenge,292.0,34.99
41699-1,Friends,Heartlake City,Pet Adoption Café,292.0,29.99
76906-1,Speed Champions,Ferrari,1970 Ferrari 512 M,291.0,19.99
6713-1,Town,Race,Grip 'n' Go Challenge,291.0,30.0
6378-1,Town,Shops and Services,Shell Service Station,291.0,25.5
1896-1,Town,Emergency,Trauma Team,291.0,27.5
7751-1,Star Wars,The Clone Wars,Ahsoka's Starfighter and Vulture Droid,291.0,39.99
101-2,Samsonite,Basic set,Imagination Set 1,290.0,4.95
44014-1,HERO Factory,Brain Attack,JET ROCKA,290.0,34.99
60133-1,City,Seasonal,LEGO City Advent Calendar,290.0,29.99
76278-1,Marvel Super Heroes,Guardians of the Galaxy,Rocket's Warbird vs. Ronan,290.0,37.99
41311-1,Friends,Heartlake City,Heartlake Pizzeria,289.0,29.99
21027-1,Architecture,Skylines,Berlin,289.0,29.99
76256-1,Marvel Super Heroes,Ant-Man and the Wasp: Quantumania,Ant-Man Construction Figure,289.0,29.99
75931-1,Jurassic World,Fallen Kingdom,Dilophosaurus Outpost Attack,289.0,39.99
8408-1,Technic,,Desert Ranger,289.0,30.0
566-1,Basic,,"Basic Building Set, 5+",288.0,26.0
1881-1,Basic,,"Play Bucket of Bricks, 3+",288.0,15.0
8898-1,World Racers,,Wreckage Road,288.0,29.99
8677-1,Cars,Cars 2,Ultimate Build Mater,288.0,29.99
9269-1,Dacta,,Wheels and Axles,288.0,34.0
40523-1,Seasonal,Easter,Easter Rabbits Display,288.0,12.99
41710-1,Friends,Beach,Surfer Beach Fun,288.0,39.99
70324-1,Nexo Knights,Season 1,Merlok's Library 2.0,288.0,24.99
40643-1,Seasonal,Chinese Traditional Festival,Jade Rabbit,288.0,19.99
40656-1,Miscellaneous,Braille Bricks,Play with Braille – English Alphabet,287.0,89.99
40655-1,Miscellaneous,Braille Bricks,Play with Braille – French Alphabet,287.0,89.99
40722-1,Miscellaneous,Braille Bricks,Play with Braille - German Alphabet,287.0,89.99
40723-1,Miscellaneous,Braille Bricks,Play with Braille - Italian Alphabet,287.0,89.99
40724-1,Miscellaneous,Braille Bricks,Play with Braille - Spanish Alphabet,287.0,89.99
76047-1,Marvel Super Heroes,Captain America: Civil War,Black Panther Pursuit,287.0,29.99
60352-1,City,Seasonal,LEGO City Advent Calendar,287.0,34.99
21168-1,Minecraft,Minifig-scale,The Warped Forest,287.0,29.99
7712-1,Exo-Force,,Supernova,287.0,20.0
2162-1,Aquazone,Aquaraiders,Hydro Reef Wrecker,287.0,40.0
6582-1,Town,Extreme Team,Daredevil Flight Squad,287.0,30.0
6959-1,Space,Spyrius,Lunar Launch Site,287.0,36.0
8412-1,Technic,,Nighthawk,286.0,29.75
8419-1,Technic,,Excavator,286.0,20.0
6545-1,Town,Police,Search N' Rescue,286.0,26.5
6162-1,Creator,Mosaic,Building Fun with LEGO,286.0,9.99
9387-1,Education,,Wheels Set,286.0,39.99
7188-1,Castle,Kingdoms,King's Carriage Ambush,286.0,39.99
31006-1,Creator,3 in 1,Highway Speedster,286.0,24.99
9444-1,Ninjago,Rise of the Snakes,Cole's Tread Assault,286.0,39.99
75283-1,Star Wars,The Clone Wars,Armored Assault Tank (AAT),286.0,39.99
60264-1,City,Deep Sea Explorers,Ocean Exploration Submarine,286.0,39.99
60261-1,City,Airport,Central Airport,286.0,59.99
71713-1,Ninjago,Prime Empire,Empire Dragon,286.0,29.99
31035-1,Creator,3 in 1,Beach Hut,286.0,29.99
79120-1,Teenage Mutant Ninja Turtles,TV Series,T-Rawket Sky Strike,286.0,34.99
41124-1,Friends,Heartlake City,Heartlake Puppy Daycare,286.0,29.99
76075-1,DC Comics Super Heroes,Wonder Woman,Wonder Woman Warrior Battle,286.0,29.99
31066-1,Creator,3 in 1,Space Shuttle Explorer,285.0,29.99
31021-1,Creator,3 in 1,Furry Creatures,285.0,19.99
285-1,Samsonite,Basic Set,Medium Basic Set,285.0,6.95
75280-1,Star Wars,The Clone Wars,501st Legion Clone Troopers,285.0,29.99
75346-1,Star Wars,The Mandalorian,Pirate Snub Fighter,285.0,34.99
76409-1,Harry Potter,House Banners,Gryffindor House Banner,285.0,34.99
71782-1,Ninjago,Core,Cole's Earth Dragon EVO,285.0,34.99
6280-1,Pirates,Imperial Armada,Armada Flagship,284.0,50.0
8415-1,Technic,,Dump Truck,284.0,30.0
40518-1,Creator,Miscellaneous,High-Speed Train,284.0,19.99
71735-1,Ninjago,Tournament of Elements,Tournament of Elements,283.0,29.99
8475-1,Racers,Drome Racers,RC Race Buggy,283.0,130.0
10135-1,Clikits,Seasonal,Holiday Decoration Kit,283.0,35.0
4161-1,Freestyle,,"Girl's Freestyle Suitcase, 6+",283.0,20.0
60007-1,City,Elite Police,High Speed Chase,283.0,29.99
8117-1,Exo-Force,Deep Jungle,Storm Lasher,283.0,19.99
5972-1,Space,Space Police 3,Container Heist,282.0,29.99
4552-1,Trains,9V,Cargo Crane,282.0,38.5
7257-1,Star Wars,Episode III,Ultimate Lightsaber Duel,282.0,30.0
41162-1,Disney,Disney Princess,"Ariel, Aurora, and Tiana's Royal Celebration",282.0,39.99
75333-1,Star Wars,Episode II,Obi-Wan Kenobi's Jedi Starfighter,282.0,29.99
31037-1,Creator,3 in 1,Adventure Vehicles,282.0,24.99
75183-1,Star Wars,Episode III,Darth Vader Transformation ,282.0,24.99
75146-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,282.0,39.99
40658-1,Star Wars,Seasonal,Millennium Falcon Holiday Diorama,282.0,29.99
76959-1,Jurassic World,Jurassic Park,Triceratops Research,281.0,49.99
40353-1,BrickHeadz,Seasonal,"Reindeer, Elf and Elfie",281.0,19.99
60289-1,City,Great Vehicles,Airshow Jet Transporter,281.0,29.99
7513-1,Clikits,,Ultimate Design Studio,281.0,30.0
8842-1,Technic,,Go-Kart,281.0,25.0
3225-1,Trains,9V,Classic Train,281.0,66.0
8764-1,Bionicle,Warriors,Vezon & Fenrakk,281.0,30.0
4866-1,Harry Potter,Prisoner of Azkaban,The Knight Bus,281.0,34.99
3851-1,Games,,Atlantis Treasure,280.0,24.99
3300003-1,Promotional,LEGO brand store opening set,LEGO Brand Retail Store,280.0,0.0
9485-1,Cars,Cars 2,Ultimate Race Set,280.0,29.99
7660-1,Star Wars,Episode I,Naboo N-1 Starfighter with Vulture Droid,280.0,29.99
5574-1,Bricks and More,,Basic Bricks,280.0,12.99
2153-1,Space,RoboForce,Robo Stalker,280.0,30.0
8876-1,Castle,Knights' Kingdom II,Scorpion Prison Cave,280.0,40.0
8232-1,Technic,,Chopper Force,280.0,25.0
6291-1,Pirates,,Armada Flagship,280.0,50.0
6418-1,Town,Paradisa,Country Club,280.0,42.0
75245-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,280.0,39.99
76916-1,Speed Champions,Porsche,Porsche 963,280.0,24.99
40520-1,Creator,Postcard,Beijing Postcard,280.0,14.99
76900-1,Speed Champions,Koenigsegg,Koenigsegg Jesko,280.0,19.99
71387-1,Super Mario,Starter Course,Adventures with Luigi,280.0,59.99
45300-1,Education,,WeDo 2.0 Core Set,280.0,224.95
41104-1,Friends,Pop Star,Pop Star Dressing Room,279.0,29.99
75049-1,Star Wars,Episode V,Snowspeeder,279.0,29.99
71763-1,Ninjago,Core,Lloyd's Race Car EVO,279.0,34.99
75258-1,Star Wars,Episode I,Anakin's Podracer – 20th Anniversary Edition,279.0,29.99
3831-1,SpongeBob SquarePants,,Rocket Ride,279.0,29.99
79108-1,The Lone Ranger,,Stagecoach Escape,279.0,29.99
60015-1,City,Coast Guard,Coast Guard Plane,279.0,44.99
4182-1,Pirates of the Caribbean,Dead Man's Chest,The Cannibal Escape,279.0,29.99
3221-1,City,Traffic,LEGO City Truck,278.0,34.99
6863-1,DC Comics Super Heroes,Batman,Batwing Battle Over Gotham City,278.0,34.99
5867-1,Creator,3 in 1,Super Speedster,278.0,19.99
1032-1,Dacta,Technic,Technic II Powered Machines Set,278.0,80.0
7476-1,Dino Attack,,Iron Predator vs. T-Rex,278.0,40.0
4728-1,Harry Potter,Chamber of Secrets,Escape from Privet Drive,278.0,30.0
60355-1,City,Missions,Water Police Detective Missions,278.0,39.99
41056-1,Friends,Traffic,Heartlake News Van,278.0,24.99
60099-1,City,Seasonal,LEGO City Advent Calendar,278.0,29.99
40172-1,Miscellaneous,Accessories,Brick Calendar,278.0,19.99
75204-1,Star Wars,Legends,Sandspeeder,278.0,29.99
21142-1,Minecraft,Minifig-scale,The Polar Igloo,278.0,29.99
75174-1,Star Wars,Episode VI,Desert Skiff Escape,277.0,29.99
75823-1,The Angry Birds Movie,,Bird Island Egg Heist,277.0,29.99
41035-1,Friends,Heartlake City,Heartlake Juice Bar,277.0,29.99
80040-1,Monkie Kid,Season 4,Monkie Kid's Combi Mech,277.0,19.99
40569-1,Creator,Postcard,London Postcard,277.0,14.99
60193-1,City,Arctic,Arctic Air Transport,277.0,39.99
9630-1,Dacta,Technic,Simple Mechanisms Set,277.0,80.0
7621-1,Indiana Jones,Raiders of the Lost Ark,Indiana Jones and the Lost Tomb,277.0,19.99
5765-1,Creator,3 in 1,Transport Truck,276.0,19.99
75299-1,Star Wars,The Mandalorian,Trouble on Tatooine,276.0,29.99
60277-1,City,Police,Police Patrol Boat,276.0,59.99
79012-1,The Hobbit,The Desolation of Smaug,Mirkwood Elf Army ,276.0,29.99
76996-1,Sonic the Hedgehog,Modern Games,Knuckles' Guardian Mech,276.0,34.99
31063-1,Creator,3 in 1,Beachside Vacation,275.0,29.99
60348-1,City,Space,Lunar Roving Vehicle,275.0,39.99
76259-1,DC Comics Super Heroes,Batman Returns,Batman Construction Figure,275.0,32.99
76895-1,Speed Champions,Ferrari,Ferrari F8 Tributo,275.0,19.99
8244-1,Technic,,Convertables,275.0,33.0
6379-1,Town,Leisure,Riding Stable,275.0,26.0
7045-1,World City,Police and Rescue,Hovercraft Hideout,274.0,30.0
7944-1,City,Fire,Fire Hovercraft,274.0,29.99
40654-1,Creator,Postcard,Beijing Postcard,274.0,14.99
76390-1,Harry Potter,Seasonal,LEGO Harry Potter Advent Calendar,274.0,39.99
41053-1,Disney,Cinderella,Cinderella's Dream Carriage,274.0,29.99
75056-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,274.0,39.99
60092-1,City,Deep Sea Explorers,Deep Sea Submarine,274.0,39.99
21022-1,Architecture,Landmark Series,Lincoln Memorial,274.0,29.99
76921-1,Speed Champions,Audi,Audi S1 e-tron quattro,274.0,26.99
71455-1,Dreamzzz,Trials of the Dream Chasers,Grimkeeper the Cage Monster,274.0,37.99
41177-1,Elves,,The Precious Crystal Mine,273.0,29.99
41925-1,Dots,Accessories,Secret Boxes,273.0,14.99
60226-1,City,Mars Exploration,Mars Research Shuttle,273.0,39.99
8836-1,Technic,,Sky Ranger,273.0,29.75
6088-1,Castle,Ninja,Robber's Retreat,273.0,30.0
6636-1,Town,Police,Command Post Central,273.0,65.0
4883-1,Creator,Designer Set,Gear Grinders,273.0,20.0
4151-1,Freestyle,,"Girl's Freestyle Set, 5+",272.0,13.0
7622-1,Indiana Jones,Raiders of the Lost Ark,Race for the Stolen Treasure,272.0,29.99
4995-1,Creator,3 in 1,Cargo Copter,272.0,19.99
60023-1,City,Traffic,LEGO City Starter Set,272.0,29.99
21179-1,Minecraft,Minifig-scale,The Mushroom House,272.0,24.99
31019-1,Creator,3 in 1,Forest Animals,272.0,19.99
76098-1,DC Comics Super Heroes,Justice League,Speed Force Freeze Pursuit,271.0,29.99
76162-1,Marvel Super Heroes,Black Widow,Black Widow's Helicopter Chase,271.0,29.99
76383-1,Harry Potter,Hogwarts Moments,Hogwarts Moment: Potions Class,271.0,29.99
75015-1,Star Wars,Episode II,Corporate Alliance Tank Droid,271.0,19.99
31009-1,Creator,3 in 1,Small Cottage,271.0,24.99
5885-1,Dino,,Triceratops Trapper,271.0,49.99
2824-1,City,Seasonal,LEGO City Advent Calendar,271.0,34.99
311-5,Samsonite,Model Maker,Remote Control Car Set,271.0,14.99
31146-1,Creator,3 in 1,Flatbed Truck with Helicopter,270.0,19.99
6332-1,Town,Police,Command Post Central,270.0,60.0
9274-1,Education,,Doors and Windows,270.0,28.25
8153-1,Racers,Tiny Turbos,Ferrari F1 Truck,270.0,19.99
21012-1,Architecture,Landmark Series,Sydney Opera House,270.0,39.99
11008-1,Classic,Bricks,Bricks and Houses,270.0,19.99
75170-1,Star Wars,Rebels,The Phantom,269.0,29.99
40480-1,BrickHeadz,Pets,Ginger Tabby,269.0,14.99
75248-1,Star Wars,Episode IX,Resistance A-wing Starfighter,269.0,29.99
76111-1,DC Comics Super Heroes,Batman,Batman: Brother Eye Takedown,269.0,29.99
4202-1,City,Mining,Mining Truck,269.0,34.99
7046-1,World City,Police and Rescue,Fire Command Craft,269.0,30.0
6484-1,Town,Rescue,F1 Hauler,269.0,49.5
8494-1,Racers,Power Racers,Ring of Fire,268.0,29.99
3840-1,Games,,Pirate Code,268.0,9.99
8086-1,Star Wars,The Clone Wars,Droid Tri-Fighter,268.0,24.99
76231-1,Marvel Super Heroes,Seasonal,Guardians of the Galaxy Advent Calendar,268.0,44.99
40173-1,Miscellaneous,Photo frames,Picture Frame,268.0,16.99
70919-1,The LEGO Batman Movie,,The Justice League Anniversary Party,267.0,29.99
71382-1,Super Mario,Expansion Set,Piranha Plant Puzzling Challenge,267.0,29.99
7886-1,Batman,,The Batcycle: Harley Quinn's Hammer Truck,267.0,29.99
8699-1,Bionicle,Warriors,Takanuva,267.0,29.99
7714-1,Exo-Force,Golden City,Golden Guardian,267.0,24.99
3222-1,City,Airport,Helicopter and Limousine,267.0,29.99
6375-2,Town,Shops and Services,Exxon Gas Station,267.0,20.0
6958-1,Space,Exploriens,Android Base,267.0,40.0
7142-1,Star Wars,Episode IV,X-wing Fighter,267.0,30.0
71811-1,Ninjago,Dragons Rising Season 2,Arin's Ninja Off-Road Buggy Car,267.0,49.99
40616-1,BrickHeadz,Wizarding World,Harry Potter & Cho Chang,267.0,19.99
7140-1,Star Wars,Episode IV,X-wing Fighter,266.0,30.0
7958-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,266.0,39.99
6747-1,Creator,3 in 1,Race Rider,266.0,19.99
70350-1,Nexo Knights,Season 3,The Three Brothers,266.0,29.99
10745-1,Juniors,Cars 3,Florida 500 Final Race,266.0,49.99
41107-1,Friends,Pop Star,Pop Star Limousine,265.0,24.99
75946-1,Harry Potter,Goblet of Fire,Hungarian Horntail Triwizard Challenge,265.0,29.99
41422-1,Friends,Jungle Rescue,Panda Jungle Tree House,265.0,29.99
76200-1,Marvel Super Heroes,Avengers: Endgame,Bro Thor's New Asgard,265.0,29.99
8134-1,Racers,Tiny Turbos,Night Crusher,265.0,19.99
7984-1,Atlantis,,Deep Sea Raider,265.0,29.99
4767-1,Harry Potter,Goblet of Fire,Harry and the Hungarian Horntail,265.0,30.0
3149-1,Scala,Dolls,Happy Home,265.0,100.0
3591-1,Znap,,Rota-Beast,264.0,30.0
76205-1,Marvel Super Heroes,Doctor Strange in the Multiverse of Madness,Gargantos Showdown,264.0,29.99
76395-1,Harry Potter,Philosopher's Stone,Hogwarts: First Flying Lesson,264.0,29.99
76245-1,Marvel Super Heroes,Mechs,Ghost Rider Mech & Bike,264.0,34.99
76034-1,DC Comics Super Heroes,Batman,Batboat Harbour Pursuit,264.0,29.99
31033-1,Creator,3 in 1,Vehicle Transporter,264.0,24.99
60070-1,City,Swamp Police,Water Plane Chase,263.0,29.99
76902-1,Speed Champions,McLaren,McLaren Elva,263.0,19.99
8994-1,Bionicle,Vehicles/Creatures,Baranus V7,263.0,39.99
76908-1,Speed Champions,Lamborghini,Lamborghini Countach,262.0,19.99
75342-1,Star Wars,The Clone Wars,Republic Fighter Tank,262.0,39.99
21114-1,Minecraft,Minifig-scale,The Farm,262.0,29.99
21208-1,Fusion,,Resort Designer,262.0,34.99
60034-1,City,Arctic,Arctic Helicrane,262.0,39.99
75044-1,Star Wars,Episode III,Droid Tri-Fighter,262.0,29.99
75168-1,Star Wars,The Clone Wars,Yoda's Jedi Starfighter,262.0,24.99
40617-1,BrickHeadz,Wizarding World,Draco Malfoy & Cedric Diggory,262.0,19.99
40713-1,Creator,Postcard,Japan Postcard,262.0,14.99
31147-1,Creator,3 in 1,Retro Camera,261.0,19.99
75040-1,Star Wars,Episode III,General Grievous' Wheel Bike,261.0,24.99
71253-1,Dimensions,Story Pack,Fantastic Beasts and Where to Find Them: Play the Complete Movie,261.0,49.99
60386-1,City,Great Vehicles,Recycling Truck,261.0,29.99
76914-1,Speed Champions,Ferrari,Ferrari 812 Competizione,261.0,24.99
40632-1,BrickHeadz,The Lord of the Rings,Aragorn & Arwen,261.0,19.99
76831-1,Disney,Lightyear,Zurg Battle,261.0,34.99
40443-1,BrickHeadz,Pets,Budgies,261.0,14.99
7034-1,World City,Police and Rescue,Surveillance Truck,261.0,30.0
5958-1,Adventurers,Desert,Mummy's Tomb,260.0,30.0
7240-1,City,Fire,Fire Station,260.0,30.0
3809-1,Spybotics,,Technojaw T55,260.0,60.0
9546-1,Education,Duplo,Mosaics Set,260.0,69.0
8076-1,Atlantis,,Deep Sea Striker,260.0,19.99
42134-1,Technic,Licensed,Monster Jam Megalodon,260.0,19.99
40547-1,BrickHeadz,Star Wars,Obi-Wan Kenobi & Darth Vader,260.0,19.99
21153-1,Minecraft,Minifig-scale,The Wool Farm,260.0,19.99
31078-1,Creator,3 in 1,Treehouse Treasures ,260.0,29.99
42061-1,Technic,,Telehandler,260.0,39.99
71242-1,Dimensions,Story Pack,New Ghostbusters: Play the Complete Movie,259.0,49.99
80006-1,Monkie Kid,A Hero is Born,White Dragon Horse Bike,259.0,34.99
41712-1,Friends,Traffic,Recycling Truck,259.0,19.99
71422-1,Super Mario,Expansion Set,Picnic at Mario's House,259.0,37.99
75576-1,Avatar,The Way of Water,Skimwing Adventure ,259.0,34.99
5884-1,Dino,,Raptor Chase,259.0,29.99
8036-1,Star Wars,The Clone Wars,Separatist Shuttle,259.0,29.99
8708-1,Power Miners,,Cave Crusher,259.0,49.99
8190-1,Power Miners,,Claw Catcher,259.0,34.99
7133-1,Star Wars,Episode II,Bounty Hunter Pursuit,259.0,30.0
71453-1,Dreamzzz,Trials of the Dream Chasers,Izzie and Bunchu the Bunny,259.0,19.99
6078-1,Castle,Royal Knights,Royal Drawbridge,258.0,30.0
6190-1,Aquazone,Aquasharks,Shark's Crystal Cave,258.0,50.0
4745-1,Alpha Team,Mission Deep Freeze,Blue Eagle vs. Snow Crawler,258.0,30.0
7571-1,Prince of Persia,The Sands of Time,The Fight for the Dagger,258.0,29.99
9534-1,Education,Duplo,Mosaic Tiles,258.0,64.0
31133-1,Creator,3 in 1,White Rabbit,258.0,19.99
60381-1,City,Seasonal,LEGO City Advent Calendar 2023,258.0,34.99
76226-1,Marvel Super Heroes,Spider-Man,Spider-Man Figure,258.0,24.99
71770-1,Ninjago,Crystalized,Zane's Golden Dragon Jet,258.0,34.99
31127-1,Creator,3 in 1,Street Racer,258.0,19.99
75319-1,Star Wars,The Mandalorian,The Armorer's Mandalorian Forge,258.0,29.99
41446-1,Friends,Heartlake City,Heartlake City Vet Clinic,258.0,39.99
76167-1,Marvel Super Heroes,Avengers,Iron Man Armory,258.0,29.99
76397-1,Harry Potter,Hogwarts Moments,Hogwarts Moment: Defence Against the Dark Arts Class,257.0,29.99
60108-1,City,Fire,Fire Response Unit,257.0,39.99
70131-1,Legends of Chima,Outlands,Rogon's Rock Flinger,257.0,29.99
70359-1,Nexo Knights,Season 3,Lance vs. Lightning,257.0,24.99
70638-1,Ninjago,Sons of Garmadon,Katana V11,257.0,19.99
76056-1,DC Comics Super Heroes,Batman,Batman: Rescue from Ra's al Ghul,257.0,29.99
7687-1,City,Seasonal,LEGO City Advent Calendar,257.0,29.99
7593-1,Toy Story,Toy Story 2,Buzz's Star Command Spaceship,257.0,29.99
7904-1,City,Seasonal,LEGO City Advent Calendar,257.0,20.0
9471-1,The Lord of the Rings,The Two Towers,Uruk-Hai Army,257.0,29.99
50003-1,Games,Licensed,Batman,257.0,29.99
263-1,Homemaker,,Kitchen,257.0,9.0
4117-1,Creator,Bucket,Fantastic Flyers and Cool Cars,257.0,15.0
8837-1,Technic,,Pneumatic Excavator,257.0,47.0
8376-1,Racers,Drome Racers,Hot Flame,257.0,80.0
21248-1,Minecraft,Minifig-scale,The Pumpkin Farm,257.0,39.99
9348-1,Education,,Community Minifigure Set,256.0,49.99
31005-1,Creator,3 in 1,Construction Hauler,256.0,17.99
8924-1,Bionicle,Warriors,Maxilos and Spinax,256.0,29.99
7684-1,City,Farm,Pig Farm & Tractor,256.0,34.99
21204-1,Fusion,,Town Master,256.0,34.99
76385-1,Harry Potter,Hogwarts Moments,Hogwarts Moment: Charms Class,256.0,29.99
77906-1,DC Comics Super Heroes,Promotional,Wonder Woman,255.0,39.99
40384-1,BrickHeadz,Wedding,Wedding Groom,255.0,12.99
